Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco
87500,1.5057,52,1238,288,622,259,37.82,-122.28,3585.765695,554471.9161,733280.4418,63761.73532,14244.88253
86100,0.9011,50,760,190,377,122,37.81,-122.29,2249.485926,554238.6099,733014.5326,63308.9672,13046.18672
84400,0.8056,48,1455,354,788,332,37.81,-122.3,2214.986056,554830.1506,733590.4364,63800.21053,12212.91436
177500,0.9241,17,1237,462,762,439,37.81,-122.28,2599.638961,553647.8988,732439.2981,62826.24581,13885.06215
137500,0.9722,10,105,42,125,39,37.8,-122.27,2524.614616,552234.0515,731023.5749,61415.35211,14466.70538
179200,1.8477,39,1715,623,1327,467,37.8,-122.27,2524.614616,552234.0515,731023.5749,61415.35211,14466.70538
313400,4.9306,52,1509,225,674,244,37.82,-122.24,5923.307236,552121.2452,730989.1673,61948.12934,17570.22252
347600,5.2868,47,3175,454,1098,485,37.84,-122.23,8006.933746,553196.2505,732109.8073,63472.78528,19148.02847
366100,5.956,41,2576,406,794,376,37.83,-122.24,6607.194021,552950.0809,731833.963,62916.58027,17924.64718
373600,6.3434,52,2800,411,1061,403,37.85,-122.23,8810.498285,554028.0133,732956.7532,64456.75042,19600.22597
333300,6.8976,34,5065,788,1627,766,37.83,-122.21,8748.161389,551198.7947,730124.8179,61675.23053,20416.64768
351200,8.401,26,1589,223,542,211,37.83,-122.2,9517.129435,550616.7335,729556.4656,61281.20404,21255.02312
270100,4.072,52,2024,339,756,340,37.81,-122.22,7026.228662,550121.2033,729002.0344,60120.12146,18994.10458
287300,6.0302,52,1490,238,634,256,37.81,-122.24,5384.142107,551293.4037,730145.0844,60984.57369,17280.2002
269900,3.675,52,2513,502,1048,518,37.81,-122.24,5384.142107,551293.4037,730145.0844,60984.57369,17280.2002
125000,2.6458,50,629,188,742,196,37.79,-122.25,4042.114695,550230.0064,729033.0822,59534.2018,16032.22786
116700,2.2303,36,1678,606,1645,543,37.8,-122.25,4182.178356,551054.8856,729874.9946,60479.91916,16192.52641
140600,2.1348,52,1586,398,1006,335,37.8,-122.24,5036.394117,550466.5608,729301.7168,60026.14905,17057.8655
182700,2.6292,47,2046,588,1213,554,37.8,-122.24,5036.394117,550466.5608,729301.7168,60026.14905,17057.8655
126600,1.9375,52,783,184,488,186,37.8,-122.23,5897.79929,549879.0785,728729.1159,59581.96122,17924.51112
111900,2.3929,52,1252,299,844,280,37.8,-122.23,5897.79929,549879.0785,728729.1159,59581.96122,17924.51112
137500,1.8854,30,999,264,1011,263,37.79,-122.23,5799.521768,549052.2776,727885.7285,58621.63527,17780.05948
95500,2.125,47,1372,395,1237,303,37.79,-122.24,4920.813655,549640.7211,728459.0669,59073.10518,16905.88916
116100,3.375,52,674,180,647,168,37.79,-122.24,4920.813655,549640.7211,728459.0669,59073.10518,16905.88916
112200,2.2542,43,1626,376,1284,357,37.79,-122.24,4920.813655,549640.7211,728459.0669,59073.10518,16905.88916
106300,2.293,49,1175,217,859,219,37.79,-122.23,5799.521768,549052.2776,727885.7285,58621.63527,17780.05948
132500,2.1494,37,2343,574,1608,523,37.79,-122.22,6448.618559,548464.6787,727313.0683,58180.01616,18654.66725
124700,2.6042,46,2366,575,1647,527,37.79,-122.22,6448.618559,548464.6787,727313.0683,58180.01616,18654.66725
229700,4.0977,48,1321,263,506,252,37.8,-122.21,7632.426885,548706.6518,727585.9515,58723.19748,19661.03059
102300,1.7276,50,1776,473,1807,440,37.78,-122.22,5337.285928,547637.9202,726469.661,57217.70869,18582.68533
80600,4.0904,52,591,173,353,137,37.77,-122.21,4356.354355,546223.4886,725053.5145,55814.41929,19455.8073
98700,2.3309,46,1234,375,1183,354,37.77,-122.21,4356.354355,546223.4886,725053.5145,55814.41929,19455.8073
151200,3.5114,52,2329,445,1144,417,37.77,-122.19,5084.144167,545048.6741,723908.6401,54952.97051,21213.28128
174200,5.2328,49,1183,205,496,209,37.78,-122.19,6039.258223,545877.3236,724753.5486,55932.31468,21217.83864
198100,2.9514,47,1229,243,582,256,37.79,-122.19,7040.569582,546706.9762,725599.1742,56916.53126,21280.57574
371000,5.9849,22,12842,2048,4985,1967,37.79,-122.16,8453.667296,544956.9729,723891.4435,55749.91433,23908.81007
135300,2.875,30,3326,746,1704,703,37.77,-122.17,6237.233753,543877.2769,722766.5032,54135.25096,22970.81861
81800,0.8012,28,856,189,435,162,37.75,-122.19,3466.824553,543394.403,722220.9844,53009.97829,21378.37961
76400,2.5192,43,1391,293,855,285,37.73,-122.18,3719.957147,541154.1831,719961.8401,50643.60443,22628.16783
107600,3.0298,46,1026,226,749,225,37.74,-122.17,4676.879049,541391.5629,720231.6447,51182.43694,23279.75524
164300,4.6696,46,1827,307,881,302,37.76,-122.16,6292.934151,542462.3144,721350.0493,52746.70801,23897.68358
196900,6.0749,39,1823,286,763,270,37.76,-122.15,7070.687478,541877.7954,720779.9579,52359.27305,24774.89386
279100,4.8304,27,2229,365,1297,355,37.77,-122.14,8371.360322,542126.6368,721058.4593,52995.06265,25607.21467
311100,4.975,30,414,54,137,50,37.75,-122.13,8351.631895,539878.8881,718793.9189,50606.62585,26619.72483
122000,3.5083,43,1383,275,853,272,37.74,-122.15,6412.443024,540217.7676,719087.795,50364.88455,25016.32569
216700,3.8672,50,1211,261,523,227,37.88,-122.29,4234.724999,560020.9578,738912.3993,69920.30808,17117.43372
362900,7.1754,52,2318,328,779,312,37.9,-122.28,4704.682155,561099.7295,740035.2078,71427.97001,19310.96615
368600,6.7138,42,2863,460,1031,448,37.89,-122.25,7358.56988,558523.4853,737484.2607,69214.11313,20493.08951
259600,4.1429,52,2495,491,1058,464,37.88,-122.28,5039.262644,559436.8918,738342.2811,69483.94682,17764.48922
218400,3.8897,52,2159,424,824,388,37.88,-122.29,4234.724999,560020.9578,738912.3993,69920.30808,17117.43372
120000,2.5682,52,477,119,218,106,37.85,-122.29,6431.681115,557536.8612,736380.4711,67056.06902,15017.96556
173700,1.9805,49,2026,548,963,521,37.87,-122.28,5543.782801,558606.9332,737496.8704,68518.3195,17047.5276
500001,1.1696,52,609,236,1349,250,37.87,-122.25,7897.024567,556856.928,735788.3723,67242.51828,19172.81885
216700,1.7464,35,3218,1108,1675,1000,37.87,-122.27,6303.66946,558022.7589,736926.6968,68084.31081,17740.7665
152700,2.4167,52,2246,472,1005,449,37.85,-122.28,6781.863175,556949.9579,735808.1668,66600.75904,15751.79397
153100,2.2845,41,2214,550,1213,568,37.86,-122.28,6208.52232,557777.9537,736652.1649,67557.19197,16374.74201
446200,7.0897,52,1389,191,514,202,37.86,-122.25,8377.321293,556025.1079,734941.4795,66262.71148,18577.44334
500001,9.3959,52,3726,474,1366,496,37.85,-122.24,8259.085109,554610.7171,733525.6829,64867.28983,18811.48745
172700,2.2431,47,2077,400,719,326,37.85,-122.27,7016.677244,556363.8892,735236.5342,66154.05014,16499.7622
210200,3.1771,52,1038,220,482,215,37.77,-122.25,4631.784541,548583.2811,727351.4239,57660.56568,15941.13355
201300,3.3438,52,970,217,528,208,37.78,-122.26,3365.618217,549997.2229,728767.3198,59072.37421,15069.96457
212900,3.9444,45,1169,263,723,286,37.78,-122.27,2557.280269,550589.1447,729343.4218,59559.63568,14192.00258
240900,2.6833,52,1846,471,827,446,37.76,-122.24,3480.590634,547169.2665,725935.449,56248.98552,16886.71567
228400,4.5213,21,7031,1249,2930,1235,37.73,-122.24,1579.763806,544707.0047,723418.3813,53483.83473,17514.82098
341600,7.2634,12,14316,2045,5781,2007,37.77,-122.06,14874.12907,537496.6721,716534.2689,50508.73516,32637.94617
412500,7.0568,5,3596,467,1738,512,37.73,-122.06,14268.05869,534141.4547,713123.1054,46273.41298,33007.92757
248600,4.635,36,3541,570,1478,529,37.71,-122.06,12679.56364,532469.8361,711421.7999,44171.41731,33414.13178
340400,6.187,31,3866,531,1368,521,37.72,-122.08,12464.77517,534467.1437,713406.4095,45825.56958,31465.13711
238600,5.4639,35,2211,350,1004,365,37.71,-122.08,11553.50427,533633.8091,712557.6164,44790.2818,31698.05432
259300,5.2497,32,2718,447,1156,410,37.7,-122.08,10680.31663,532801.4892,711709.5452,43758.7559,31967.97279
183500,3.851,52,2898,557,1338,550,37.74,-122.15,6412.443024,540217.7676,719087.795,50364.88455,25016.32569
245400,2.8355,45,3758,819,1573,736,37.73,-122.15,6355.400844,539389.2726,718242.7961,49375.04363,25209.84765
177500,3.25,46,2163,470,925,435,37.73,-122.17,4598.074856,540565.0212,719388.1382,50208.82761,23487.3485
166300,4.0202,43,3783,814,2139,789,37.72,-122.17,4783.74843,539739.5021,718545.3591,49241.07776,23745.25062
194700,3.5547,36,1464,244,672,261,37.7,-122.15,7283.088086,536909.9195,715712.1603,46438.69141,26067.85607
157100,2.9507,44,2341,500,1256,485,37.69,-122.1,8719.624865,533141.6399,712003.8278,43442.54343,30594.57536
144900,2.679,41,3495,787,1849,750,37.7,-122.12,8836.381628,535143.9391,713992.5844,45206.44019,28583.29062
179100,4.1042,35,2681,508,1580,536,37.69,-122.12,7818.90993,534316.5906,713148.2469,44212.8012,28924.63177
161400,2.1552,23,1689,461,828,443,37.7,-122.11,9206.197526,534557.0148,713420.7789,44822.87728,29426.54218
205600,2.4042,29,2333,538,1120,540,37.68,-122.09,8445.991416,531726.1905,710586.7979,42064.69922,31783.14213
182800,4.0588,45,2457,445,1129,422,37.68,-122.13,6444.978306,534080.043,712878.6458,43640.48004,28484.27403
210300,4.267,35,2976,518,1424,538,37.68,-122.14,6161.461999,534670.6774,713453.3424,44069.77308,27667.99062
161800,3.016,31,3300,790,2181,740,37.65,-122.07,8183.534023,528066.8974,706907.3218,38300.00312,34642.56537
206700,4.6635,28,1784,311,735,278,37.64,-122.1,5329.48268,529010.545,707785.6149,38471.41516,32731.28292
187200,3.8171,18,9963,2031,5613,1946,37.63,-122.1,5127.989532,528187.4642,706944.1897,37497.03178,33253.82963
173600,4.5281,35,2361,458,1727,467,37.61,-122.1,5431.449538,526544.48,705263.5779,35572.47776,34383.08199
158200,3.8036,33,1227,286,848,291,37.65,-122.06,9022.224706,527479.3954,706335.2357,37948.89684,35451.30662
204200,3.8125,35,657,118,328,134,37.62,-122.04,10422.32893,523819.7829,702655.2193,34192.2836,38449.83781
163900,2.8971,16,1642,346,705,351,37.61,-122.05,9691.928606,523582.5368,702384.4351,33521.39754,38184.36882
159800,2.652,31,2155,522,1858,437,37.6,-122.02,11102.48753,520988.0036,699820.091,31475.59261,41037.75817
238500,4.3875,17,3314,638,1873,602,37.6,-122.04,9696.513966,522166.8523,700966.9479,32146.34299,39494.36969
318300,6.5615,8,8647,1407,5019,1379,37.57,-122.07,5590.256237,521479.4523,700172.6155,30398.55129,39058.67272
278200,6.1047,7,10648,1818,6075,1797,37.57,-122.05,7070.266232,520289.2199,699016.9316,29530.15213,40504.6534
216100,3.8179,24,2563,485,1174,501,37.56,-122.01,8932.838059,517094.6408,695870.9416,27016.73229,44058.74233
225000,5.388,26,2332,371,1285,404,37.54,-121.99,9701.225779,514262.7212,693035.2231,24299.8381,46754.72952
268600,4.8403,28,2414,415,1106,453,37.55,-121.99,10036.2547,515087.3333,693878.3325,25343.3172,46143.04206
298900,5.8325,26,1910,371,852,357,37.54,-122,8850.084215,514855.1296,693610.7854,24624.7823,46025.90399
287600,5.7057,27,1890,303,889,314,37.53,-122.01,7742.456735,514626.9546,693346.254,23968.98911,45952.06294
451100,8.4045,7,28258,3864,12203,3701,37.53,-121.92,14468.65641,509310.4428,688178.566,21760.3506,52555.81769
223100,5.2882,25,4209,731,2568,703,37.54,-122.05,4764.815718,517830.5329,696499.2269,26631.82761,42467.95799
299400,5.1437,4,7477,1576,2937,1506,37.72,-121.92,23391.36555,525271.9344,704411.5916,42822.77795,45354.16159
271100,5.0143,15,6473,1027,2484,970,37.71,-121.94,21322.52345,525561.3896,704666.5683,41850.243,43781.516
336500,7.2494,6,8072,1050,3386,1062,37.71,-121.96,19752.87371,526703.704,705785.2687,42061.46212,42047.25591
315600,5.1406,46,1280,209,512,208,37.64,-121.92,20624.91049,518506.3726,697544.8133,33944.60151,47382.33785
233300,5.0677,52,775,134,315,123,37.66,-121.87,25435.38464,517336.5036,696461.5845,36142.11738,50972.0969
231300,2.1187,3,1565,464,769,461,37.66,-121.89,23894.56689,518475.8026,697577.6482,36085.96632,49270.08953
216800,4.7361,22,5533,943,2474,910,37.7,-121.8,32560.95726,516809.7968,696048.4817,41354.83166,56119.75128
158400,3.5532,36,1687,372,950,372,37.68,-121.77,33928.98878,513416.6619,692663.8387,39816.26953,59090.83356
256700,5.7068,9,3980,736,1705,679,37.7,-121.76,35879.86283,514585.5108,693858.2634,42196.64262,59601.41855
97900,2.5476,25,1374,297,657,288,38.45,-120.88,71384.19863,543084.3749,720701.9366,152511.4962,155144.6318
128600,2.3125,15,4221,816,1737,743,38.38,-120.77,75186.98584,531861.6398,709272.9475,152346.7374,160266.3611
147000,3.9,7,1737,290,747,265,39.74,-121.87,164306.0041,709745.9666,887606.0263,267377.9236,223963.1208
137500,3.4191,52,444,80,1107,98,39.73,-121.85,165937.0873,707959.9524,885791.3487,266284.768,223263.6886
85100,2.2621,43,2976,599,1181,560,39.74,-121.84,166864.6907,708540.8218,886333.3484,267410.1856,224542.6125
130300,2.575,34,3263,604,1290,594,39.74,-121.83,167717.6431,708140.878,885910.5244,267426.594,224742.1333
116300,3.0625,8,5690,1189,2887,1077,39.73,-121.79,171058.0124,705564.6362,883257.6238,266409.183,224495.2855
69000,0.9566,52,1457,389,802,342,39.72,-121.84,166723.7247,706576.5805,884401.5976,265186.632,222379.7187
55000,1.3672,52,957,263,513,223,39.73,-121.84,166790.5169,707558.5099,885367.3027,266298.4081,223461.016
97600,2.3507,12,1958,369,875,354,39.82,-121.59,188933.6054,706803.3608,883818.5061,277518.4285,238901.2765
89500,2.963,25,1612,313,837,303,39.77,-121.61,186425.8824,702560.0968,879723.5699,271822.2828,233085.6881
93400,2.6823,28,1677,327,770,309,39.78,-121.63,185106.5778,704313.9688,881513.6518,272778.2835,233622.0331
93500,1.8125,23,1759,366,788,359,39.77,-121.62,185867.4755,702938.3803,880129.175,271744.9619,232822.4153
109700,2.8182,22,2598,482,1151,490,39.76,-121.63,184930.9873,702321.5386,879557.6695,270562.5523,231502.6043
102600,3.066,17,2748,556,1174,514,39.71,-121.71,177771.9287,700441.7305,877974.3982,264514.0389,224179.1116
83300,1.4896,17,1483,284,481,211,39.55,-121.19,167332.4459,665120.7504,841424.8513,253738.5499,224974.2298
72200,2.334,30,3085,610,1688,575,39.51,-121.52,158835.7351,673243.4003,850639.7518,243968.7689,208629.2828
63600,2.6563,30,1217,238,677,233,39.49,-121.52,156615.6691,671256.9366,848689.9102,241765.48,206577.6176
80400,2.3566,15,2119,389,1079,374,39.43,-121.52,149956.1523,665306.5275,842848.4798,235157.9405,200444.6584
60000,3.0208,52,189,34,121,37,39.39,-121.39,146659.9627,656324.1854,833584.0948,232622.6949,201198.4918
56000,2.0474,37,2330,495,1505,470,39.36,-121.7,140192.7339,665640.341,843732.5594,225744.639,187466.9313
133000,2.6528,9,7450,1475,2233,930,37.97,-120.67,75540.60693,487191.372,665169.0215,128726.5802,156125.3729
122300,2.6417,13,4110,847,1796,706,38.2,-120.57,85085.47002,506278.669,683388.6619,150878.3732,169856.8351
100900,3.024,17,1463,338,529,226,38.33,-120.41,102124.9163,513813.2564,689920.9468,170853.2319,187469.4039
103800,3.3542,10,3486,695,298,124,38.29,-120.27,112780.8016,505063.5936,680606.4401,177739.9646,197795.8649
77500,3.125,11,1568,369,82,33,38.42,-120.19,123451.6191,516053.2495,690803.7616,192047.4834,208862.9125
125400,3.8125,15,1850,441,1348,403,37.95,-121.69,9641.112788,532778.712,712187.9667,70631.04583,67956.21526
186300,5.7104,5,4980,774,2399,763,37.95,-121.74,9567.445165,535405.325,714808.5242,69647.20542,63765.4282
165200,5.0164,13,3995,605,1969,607,37.98,-121.82,10856.04234,542304.0883,721695.2449,71955.09847,58339.43649
101400,2,52,1225,250,725,231,38.03,-121.88,5003.884023,549915.1563,729302.8349,77235.60963,56126.54821
181800,3.6154,5,1560,369,1037,372,38.02,-121.9,6343.030401,550105.5874,729483.0377,76117.62417,54053.02412
144100,4.8542,17,2713,442,1475,415,38,-121.87,8392.430375,546738.2297,726119.5023,73919.04596,55299.37964
100700,2.1013,9,3360,833,2041,810,38.02,-121.95,7557.60519,552800.8347,732156.921,76280.10642,50318.17784
133900,2.0523,44,1625,432,825,385,38.02,-122.14,5203.910616,563251.889,742481.5944,79157.5402,37439.58985
116100,3.1711,39,1313,306,575,231,38.01,-122.11,4853.026251,560721.2597,739967.2381,77395.95681,38519.13796
166400,4.2042,20,6992,1404,3221,1334,38,-122.12,6238.753838,560421.4563,739650.5315,76544.18834,37121.20438
212600,5.76,9,3424,583,1460,543,38,-122.11,5880.727896,559863.2452,739100.7343,76319.20165,37771.71138
